"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 13-Aug-2026",2130.87,2071.69,2072.33,,66.28,64.44,64.46,
"12:00:00 12-Aug-2026",2143.10,2091.73,2099.56,,66.66,65.06,65.30,
"00:00:00 12-Aug-2026",2146.90,2080.96,2131.96,,66.78,64.73,66.31,
"12:00:00 11-Aug-2026",2099.76,2069.36,2082.64,,65.31,64.36,64.78,
"00:00:00 11-Aug-2026",2136.77,2065.65,2095.64,,66.46,64.25,65.18,
"12:00:00 10-Aug-2026",2123.81,2045.15,2116.27,,66.06,63.61,65.82,
"00:00:00 10-Aug-2026",2071.97,2025.58,2059.59,,64.45,63.00,64.06,
"12:00:00 09-Aug-2026",2055.33,2038.00,2042.92,,63.93,63.39,63.54,
"00:00:00 09-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"12:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"00:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"12:00:00 07-Aug-2026",2091.05,2027.80,2044.15,,65.04,63.07,63.58,
"00:00:00 07-Aug-2026",2078.13,1966.89,2060.32,,64.64,61.18,64.08,
"12:00:00 06-Aug-2026",1987.99,1957.39,1982.31,,61.83,60.88,61.66,
"00:00:00 06-Aug-2026",2022.30,1979.14,1987.30,,62.90,61.56,61.81,
"12:00:00 05-Aug-2026",2018.06,1976.83,2000.36,,62.77,61.49,62.22,
"00:00:00 05-Aug-2026",1994.24,1910.18,1992.76,,62.03,59.41,61.98,
"12:00:00 04-Aug-2026",1930.18,1901.31,1911.48,,60.04,59.14,59.45,
"00:00:00 04-Aug-2026",1912.07,1865.11,1911.26,,59.47,58.01,59.45,
"12:00:00 03-Aug-2026",1873.43,1819.34,1873.09,,58.27,56.59,58.26,
"00:00:00 03-Aug-2026",1883.58,1856.72,1864.72,,58.59,57.75,58.00,
"12:00:00 02-Aug-2026",1885.06,1850.53,1874.01,,58.63,57.56,58.29,
"00:00:00 02-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"12:00:00 01-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"00:00:00 01-Aug-2026",1850.90,1850.53,1850.53,,57.57,57.56,57.56,
"12:00:00 31-Jul-2026",1864.33,1834.00,1850.90,,57.99,57.04,57.57,
"00:00:00 31-Jul-2026",1902.23,1853.84,1859.25,,59.17,57.66,57.83,
"12:00:00 30-Jul-2026",1906.77,1858.94,1899.86,,59.31,57.82,59.09,
"00:00:00 30-Jul-2026",1885.50,1830.79,1868.57,,58.65,56.94,58.12,
